name;birth_year;death_year;about;works
Osip Mandelstam;1891;1938;poet and writer, member of the acmeist school;The Stone
Anatoly Marienhof;1897;1962;novelist, poet and playwright;A Novel Without Lies
Alexandra Marinina;1957;;writer of detective stories;
Evgeny Markov;1835;1903;writer, critic and ethnographer;Black Earth Field
Maria Markova;1982;;poet;
Boleslav Markevich;1822;1884;writer, essayist, journalist, literary critic and translator;
Samuil Marshak;1887;1964;writer, translator and children's poet;The Twelve Months
Vladilen Mashkovtsev;1929;1997;poet, writer and journalist;
Mikhail Matinsky;1750;1820;scientist, dramatist, librettist and opera composer;
Vladimir Mayakovsky;1893;1930;futurist poet, writer and playwright;Mystery-Bouffe
Apollon Maykov;1821;1897;poet and translator;
Valerian Maykov;1823;1847;literary critic, brother of Apollon Maykov;
Vasily Maykov;1728;1778;poet, fabulist, playwright and translator;
Lev Mei;1822;1862;poet and playwright;The Tsar's Bride
Pavel Melnikov;1818;1883;ethnographical novelist;In the Forests
Dmitry Merezhkovsky;1866;1941;poet and novelist, founder of the symbolist movement in Russia;Christ and Antichrist
Aleksey Merzlyakov;1778;1830;poet, critic, translator and professor;
Arvo Mets;1937;1997;poet and translator;Resemblance
Alexander Mezhirov;1923;2009;poet, translator and critic;
Sergey Mikhalkov;1913;2009;children's writer, satirist and songwriter, author of the National Anthem of the Soviet Union;
Nikolay Mikhaylovsky;1842;1904;publicist, literary critic, sociologist and narodnik theoretician;
Dmitry Minayev;1835;1889;satirical poet, journalist, translator and literary critic;
Nikolai Minsky;1855;1937;poet, writer and translator;From the Gloom to the Light
Boris Mozhayev;1923;1996;writer, playwright, script-writer and editor;Alive
Daniil Mordovtsev;1830;1905;writer and historian of Ukrainian descent;
Yunna Morits;1937;;poet and artist;The Vine
Sergey Mstislavsky;1876;1943;writer, dramatist, publicist, anthropologist, editor and political activist;
Viktor Muyzhel;1880;1924;writer and painter;
Viktor Muravin;1929;;novelist;The Diary of Vikenty Angarov
Vladimir Nabokov;1899;1977;poet and novelist, wrote first in Russian, then in English, author of Lolita;
Nikolai Nadezhdin;1804;1856;literary critic and ethnographer;
Semyon Nadson;1862;1887;poet;Pity the Stately Cypress Trees
Yuri Nagibin;1920;1994;novelist, short story writer and screenwriter;
Vladimir Narbut;1888;1938;acmeist poet and magazine editor;
Vasily Narezhny;1780;1825;novelist;A Russian Gil Blas
Sergey Narovchatov;1919;1981;writer and magazine editor;Novy Mir
Filipp Nefyodov;1838;1902;writer, journalist, editor, ethnographer and archeologist;Among People
Nikolay Nekrasov;1821;1878;major poet and magazine editor;Who Can be Happy and Free in Russia?
Viktor Nekrasov;1911;1987;novelist;Front-line Stalingrad
Viktor Nekipelov;1928;1989;poet, writer and dissident;
Miroslav Nemirov;1961;2016;poet and songwriter;
Vasily Nemirovich-Danchenko;1845;1936;novelist, essayist and war correspondent;
Vladimir Nemirovich-Danchenko;1858;1943;theatre director, writer and playwright, co-founder of the Moscow Art Theatre;
Löb Nevakhovich;1776;1831;;Russia-Jewish writer and playwright
Alexander Neverov;1886;1923;writer and playwright;City of Bread
Friedrich Neznansky;1932;2013;crime novelist;Red Square
Ivan Nikitin;1824;1861;poet and writer;Kulak
Nikolai Nikolev;1758;1815;poet and playwright;
Pavel Nilin;1908;1981;writer, journalist and playwright;Man Goes Uphill
Nikolay Nosov;1908;1976;children's writer;Neznaika
Yevgeny Nosov;1925;2002;writer;Usvyat Warriors
Osip Notovich;1849;1914;publisher, playwright and essayist;
Alexey Novikov-Priboy;1877;1944;novelist and short story writer;The Captain
Vladimir Obruchev;1863;1956;science fiction writer;Sannikov Land
Olga Obukhova;1941;;journalist, writer and translator;
Alexander Odoevsky;1802;1839;poet and playwright, activist of the Decembrist Revolt;
Vladimir Odoevsky;1803;1869;philosopher, writer, music critic, philanthropist and pedagogue;The Living Corpse
Irina Odoyevtseva;1895;1990;poet, novelist and memoirist;
Nikolay Ogarev;1813;1877;poet, historian and political activist;
Bulat Okudzhava;1924;1997;poet, writer and singer-songwriter;The Art of Needles and Sins
Yury Olesha;1899;1960;satirical novelist;Envy
Nikolay Oleynikov;1898;1937;editor, avant-garde poet and playwright;
Mikhail Osorgin;1878;1942;journalist, novelist, short story writer and essayist;
Alexander Ostrovsky;1823;1886;major playwright;The Storm
Nikolai Ostrovsky;1904;1936;socialist realist writer;How the Steel Was Tempered
Valentin Ovechkin;1904;1968;writer, playwright, journalist and war correspondent;Greetings from the Front
Vladislav Ozerov;1769;1816;playwright;Dmitry Donskoy
Marina Palei;1955;;scriptwriter, publicist, novelist and translator;Rendezvous
Alexander Palm;1822;1885;poet, novelist and playwright;Petrashevsky Circle member,Alexey Slobodin
Liodor Palmin;1841;1891;poet, translator and journalist;
Ivan Panaev;1812;1862;writer, critic and publisher/editor of Sovremennik magazine;
Avdotya Panaeva;1820;1893;novelist, short story writer and memoirist;
Vera Panova;1905;1973;novelist, short story writer, journalist and playwright;Seryozha
Valentin Parnakh;1891;1951;poet, translator, choreographer and musician, founder of Russian jazz music;
Sophia Parnok;1885;1933;poet, playwright and translator;
Boris Pasternak;1890;1960;poet and novelist, not permitted by the Soviet Union to accept the Nobel Prize;Doctor Zhivago
Pyotr Patrushev;1942;;writer and dissident;
Konstantin Paustovsky;1892;1968;writer;Nobel Prize nominee,Story of a Life
Pyotr Pavlenko;1899;1951;writer;Happiness
Oleg Pavlov;1970;;novelist and short story writer;
Karolina Pavlova;1807;1893;poet and novelist;A Double Life
Vladimir Pecherin;1807;1885;poet and writer;Notes from Beyond the Tomb
Victor Pelevin;1962;;modern writer;Omon Ra
Yakov Perelman;1882;1942;science writer;Physics for Entertainment
Pyotr Pertsov;1868;1947;publisher, editor, literary critic, journalist and memoirist;
Nick Perumov;1963;;fantasy and science fiction writer;
Mariya Petrovykh;1908;1979;poet and translator;
Lyudmila Petrushevskaya;1938;;modern writer and playwright;The Number One
Valentin Pikul;1928;1990;novelist;At the Last Frontier
Boris Pilnyak;1894;1938;novelist;The Naked Year
Dmitry Pisarev;1840;1868;critic and publicist;
Aleksey Pisemsky;1821;1881;novelist and dramatist;A Bitter Fate
Andrei Platonov;1899;1951;novelist;The Foundation Pit
Georgi Plekhanov;1857;1918;writer, revolutionary and Marxist theoretician;
Aleksey Pleshcheyev;1825;1893;radical poet;Step Forward! Without Fear or Doubt
Pyotr Pletnyov;1792;1866;poet, dedicatee of Pushkin's Eugene Onegin;
Mikhail Pogodin;1800;1875;historian and journalist;
Nikolai Pogodin;1900;1962;playwright, journalist and magazine editor;
Antony Pogorelsky;1787;1837;fantasy fiction writer;Dvoinik
Evgeny Pogozhev;1870;1931;religious writer, essayist and journalist (pen name E. Poselyanin);
Konstantin Podrevsky;1888;1930;poet, translator, lyricist;Dorogoi dlinnoyu
Boris Polevoy;1908;1981;writer and journalist;The Story of a Real Man
Ksenofont Polevoy;1801;1867;writer, literary critic, journalist, publisher and translator;
Nikolai Polevoy;1796;1846;writer, historian and magazine editor;The Moscow Telegraph
Pyotr Polevoy;1839;1902;writer, playwright, translator, critic and literary historian;
Alexander Polezhayev;1804;1838;satirical poet;Sashka
Elizaveta Polonskaya;1890;1969;poet, translator, and journalist, the only female member of the Serapion Brothers;
Yakov Polonsky;1819;1898;poet;Georgian Night
Nikolay Pomyalovsky;1835;1863;novelist;Seminary Sketches
Mikhail Popov;1742;1790;writer, poet, dramatist and opera librettist;Anyuta
Nikolay Popovsky;1730;1760;poet and translator;
Vasili Popugaev;1778;1816;poet, novelist and translator;
Oleg Postnov;1962;;novelist and translator;
Ignaty Potapenko;1856;1929;writer and playwright;A Russian Priest
Michael Prawdin;1894;1970;historical writer;
Alexander Preys;1905;1942;playwright and librettist;The Nose
Dmitri Prigov;1940;2007;writer and artist;Live in Moscow
Zakhar Prilepin;1975;;writer and dissident, member of the National Bolshevik Party;
Maria Prilezhayeva;1903;1989;children's writer;The Life of Lenin
Mikhail Prishvin;1873;1954;journalist and writer;
Alexander Prokhanov;1938;;writer and newspaper editor;Empire's Last Soldier
Alexander Prokofyev;1900;1971;poet and war correspondent;
Iosif Prut;1900;1996;playwright and screenwriter;
Alexander Pushkin;1799;1837;poet, novelist and dramatist;Eugene Onegin
Vasily Pushkin;1766;1830;poet, uncle of Alexander Pushkin;
Konstantin Pyatnitsky;1864;1938;journalist, publisher and memoirist;
Alexander Radishchev;1749;1802;radical writer and social critic;Journey from St. Petersburg to Moscow
Edvard Radzinsky;1936;;writer, playwright;TV personality, screenwriter and historian
Vladimir Rayevsky;1795;1872;poet and Decembrist;
Valentin Rasputin;1937;;novelist;Farewell to Matyora
Irina Ratushinskaya;1954;;dissident poet and writer;Grey is the Color of Hope
Razumnik Ivanov-Razumnik;1878;1946;writer, philosopher and literary critic;
Yevgeny Rein;1935;;poet and writer;The Names of Bridges
Aleksey Remizov;1877;1957;modernist writer, calligrapher and folklore enthusiast;The Clock
Fyodor Reshetnikov;1841;1871;novelist;The Podlipnayans
Mikhail Rosenheim;1820;1887;poet, editor, publicist and translator;
Robert Rozhdestvensky;1932;1994;poet;Flags of Spring
Helena Roerich;1879;1949;philosopher, writer and public figure;
Nicholas Roerich;1874;1947;painter, philosopher, scientist, writer, traveler and public figure;
Konstantin Romanov;1858;1915;poet and playwright;The King of the Jews
Panteleimon Romanov;1884;1938;writer;Without Bird-Cherry Blossoms
Mikhail Roshchin;1933;2010;playwright, screenwriter and short story writer;
Yevdokiya Rostopchina;1811;1858;poet and writer;Forced Marriage
Vasily Rozanov;1856;1919;writer and philosopher;
Dina Rubina;1953;;novelist and short story writer;The Blackthorn
Anatoly Rybakov;1911;1998;novelist;Children of the Arbat
Vladimir Rybakov;1947;;novelist and journalist;The Afghans: A Novella of Soviet Soldiers in Afghanistan
Vyacheslav Rybakov;1954;;science fiction author and orientalist;The Trial Sphere
Maria Rybakova;1973;;novelist and short story writer;
Pavel Rybnikov;1831;1885;ethnographer, folklorist and literary historian;
Kondraty Ryleyev;1795;1826;poet, publisher and a leader of the Decembrist Revolt;
Yuri Rytkheu;1930;2008;;Chukchi writer,A Dream in Polar Fog
Irina Saburova;1907;1979;writer, poet, translator, and magazine editor;
Dmitry Sadovnikov;1847;1883;poet, folklorist and ethnographer, 'Iz-za ostrova na strezhen';
Boris Sadovskoy;1881;1952;poet, writer and literary critic;
German Sadulaev;1973;;;Chechen writer,I am a Chechen!
Ilya Salov;1834;1902;writer, playwright and translator;Butuzka
Yuri Samarin;1819;1876;publicist and critic;
Vladimir Sanin;1928;1989;writer of travel fiction;
Genrikh Sapgir;1928;1999;poet and novelist;
Mikhail Saltykov-Shchedrin;1826;1889;satirical writer;The Golovlyov Family
Boris Savinkov;1879;1925;writer and revolutionary terrorist;What Never Happened
Feodosy Savinov;1865;1915;poet;Rodnoye
Ilya Selvinsky;1899;1968;poet, leader of the constructivist school;
Sergey Semyonov;1868;1922;peasant writer;Gluttons
Yulian Semyonov;1931;1993;writer of spy fiction and crime fiction;Seventeen Instants of Spring
Osip Senkovsky;1800;1858;;Polish-Russian orientalist, journalist, writer and entertainer.
Alexander Serafimovich;1863;1949;writer;The Iron Flood
Andrey Sergeev;1933;1998;poet, translator and writer;
Sergei Sergeyev-Tsensky;1875;1958;writer and academician;Brusilov's Breakthrough
Efraim Sevela;1928;2010;writer, screenwriter, director and producer;
Igor Severyanin;1887;1941;ego futurist poet;The Cup of Thunder
Marietta Shaginyan;1888;1982;writer of Armenian descent;Mess-Mend
Alexander Shakhovskoy;1777;1846;playwright, writer, poet, librettist and critic;The New Stern
Varlam Shalamov;1907;1982;writer and Gulag survivor;The Kolyma Tales
Olga Shapir;1850;1916;writer and feminist;The Settlement
Tatiana Shchepkina-Kupernik;1874;1952;poet, writer, playwright and translator;Deborah
Stepan Shchipachev;1889;1980;poet;Lines of Love
Pyotr Shchebalsky;1810;1886;critic, editor and literary historian;
Vadim Shefner;1915;2002;poet and writer;
Alexander Sheller;1838;1900;writer, poet and essayist;Putrid Moors
Nikolay Sherbina;1821;1869;poet;To the Sea
Vadim Shershenevich;1893;1942;futurist poet, writer and screenwriter;A Kiss From Mary Pickford
Stepan Shevyryov;1806;1864;poet, writer, critic and philologist;
Mikhail Shishkin;1961;;modern writer;The Taking of Izmail
Vyacheslav Shishkov;1873;1945;writer, known for his descriptions of Siberia;
Maria Shkapskaya;1891;1952;poet and journalist;
Ivan Shmelyov;1873;1950;novelist;The Stone Age
Mikhail Sholokhov;1905;1984;;Nobel Prize–winning writer,And Quiet Flows the Don
Gennady Shpalikov;1937;1974;poet and screenwriter;I Step Through Moscow
Vasily Shukshin;1929;1974;actor, writer, screenwriter and movie director;Roubles in Words,Kopeks in Figures
Pavel Shumil;1957;;science fiction author;
Evgeny Shvarts;1896;1958;writer, playwright and screenwriter;The Dragon
Konstantin Simonov;1915;1979;novelist and poet;Wait for Me
Andrei Sinyavsky;1925;1997;writer, publisher and dissident;Pkhentz
Alexander Skabichevsky;1838;1911;writer and literary critic;
Stepan Skitalets;1869;1941;poet and writer;The Love of a Scene Painter
Victor Skumin;1948;;writer and magazine editor;
Olga Slavnikova;1957;;novelist and literary critic;
Vasily Sleptsov;1836;1878;writer and social reformer;The Ward
Konstantin Sluchevsky;1837;1904;poet and magazine editor;
Boris Slutsky;1919;1986;representative of the War generation of Russian poets;
Nikolai Snessarev;1856;1928;publicist, writer, literary critic and politician;
Sofia Soboleva;1840;1884;writer and journalist;Pros and Cons
Anatoly Sofronov;1911;1990;writer, poet, playwright, scriptwriter, editor and literary administrator;The Cookie
Sasha Sokolov;1943;;novelist;A School for Fools
Ivan Sokolov-Mikitov;1882;1975;author, journalist and short-story writer;Childhood
Vladimir Sollogub;1813;1882;writer and poet;The Snowstorm
Fyodor Sologub;1863;1927;symbolist poet, playwright and novelist;The Petty Demon
Vladimir Soloukhin;1924;1997;writer, journalist and poet;Verdict
Leonid Solovyov;1906;1962;writer and playwright;Tale of Hodja Nasreddin
Vladimir Solovyov;1853;1900;philosopher, poet, pamphleteer and literary critic;
Aleksandr Solzhenitsyn;1918;2008;;Nobel Prize–winning writer,One Day in the Life of Ivan Denisovich
Orest Somov;1793;1833;writer, journalist, literary critic and translator;Mommy and Sonny
Vladimir Sorokin;1955;;popular postmodern writer and dramatist;
Konstantin Staniukovich;1843;1903;sea stories writer;Maximka
Mikhail Stasyulevich;1826;1911;writer, literary historian, editor and publisher;
Vladimir Stavsky;1900;1943;writer, editor and literary administrator;Fighting for Motherlqnd
Alexander Stein;1906;1993;writer, playwright, scriptwriter and memoirist;
Ksenya Stepanycheva;1978;;playwright;Pink Bow
Sergey Stepnyak-Kravchinsky;1851;1895;writer, publicist and revolutionary;King Stork and King Log
Fyodor Stepun;1884;1965;;Russian-German writer, philosopher, historian and sociologist
Dmitry Strelnikov;1969;;poet, essayist and novelist;
Arkady and Boris Strugatsky;1925;1991;(Boris born 1933), science fiction writers;Hard to Be a God
Aleksandr Sukhovo-Kobylin;1817;1903;playwright;The Case
Alexander Sumarokov;1717;1777;early poet and playwright;
Ivan Surikov;1841;1880;peasant poet;
Alexey Surkov;1899;1983;poet, editor, literary critic, 'Zemlyanka';
Mikhail Sushkov;1775;1792;writer;The Russian Werther
Alexei Suvorin;1834;1912;publisher and journalist;
Viktor Suvorov;1947;;writer and historian;
Fyodor Svarovsky;1971;;poet;
Mikhail Svetlov;1903;1964;poet and journalist;Song of Kakhovka
Yelizaveta Tarakhovskaya;1891;1968;poet, playwright, translator and children's writer;
Alexander Tarasov-Rodionov;1885;1938;writer;Chocolate
Arseny Tarkovsky;1907;1989;poet and translator;
Valery Tarsis;1906;1983;novelist and dissident;Ward 7
Nadezhda Teffi;1872;1952;humorist writer;All About Love
Nikolay Teleshov;1867;1957;writer and memoirist, organizer of the Moscow Sreda;
Vladimir Tendryakov;1923;1984;novelist and short story writer;Three,Seven,Ace
Yuri Terapiano;1892;1980;poet, writer, translator, literary critic and historian;
Sergey Terpigorev;1841;1895;writer and essayist;
Nikolai Tikhonov;1896;1979;writer and poet, member of the Serapion Brothers;
Vladislav Titov;1934;1987;novelist who lost both arms in a coal mine accident;Defying Death
Pyotr Tkachev;1844;1886;publicist, writer and critic;
Viktoriya Tokareva;1937;;screenwriter and short story writer;
Aleksey Konstantinovich Tolstoy;1817;1875;poet, dramatist and novelist;The Death of Ivan the Terrible
Aleksey Nikolayevich Tolstoy;1882;1945;novelist and science fiction writer;The Garin Death Ray
Ilya Tolstoy;1866;1933;author of a memoir about his father Leo Tolstoy;
Leo Tolstoy;1828;1910;novelist, short story writer, playwright, essayist and public figure;War and Peace,Anna Karenina
Tatyana Tolstaya;1951;;writer;TV host, publicist, novelist and essayist
Edward Topol;1938;;novelist and journalist;Red Square
Sergey Trakhimenok;1950;;novelist, playwrights, screenwriter and short story writer, detective story writer;
Vasily Trediakovsky;1703;1768;poet, essayist and playwright;
Konstantin Trenyov;1876;1945;playwright and short story writer;Lyubov Yarovaya
Sergei Tretyakov;1892;1937;playwright;I Want a Baby
Yury Trifonov;1925;1981;novelist and short story writer;The Long Goodbye
Gavriil Troyepolsky;1905;1995;novelist;White Bim Black Ear
Mikhail Tsetlin;1882;1945;poet, playwright, novelist, memoirist and translator;
Marina Tsvetaeva;1892;1941;poet and essayist;The Rat-Catcher
Alexei Tsvetkov;1947;;poet, novelist and journalist;
Nikolai Tsyganov;1797;1832;poet, folklorist, singer and actor;Russian Songs
Evgenia Tur;1815;1892;writer, critic, journalist and publisher;Antonina
Sergey Turbin;1821;1884;playwright and journalist;
Ivan Turgenev;1818;1883;novelist and playwright;A Sportsman's Sketches,Fathers and Sons
Veronika Tushnova;1911;1965;poet and translator;Memory of the Heart
Aleksandr Tvardovsky;1910;1971;poet, war correspondent and editor of Novy Mir;Vasily Tyorkin
Yury Tynyanov;1894;1943;writer, literary critic, translator, scholar and screenwriter;
Fyodor Tyutchev;1803;1873;poet;The Last Love
Vladimir Uflyand;1937;2007;poet;The Working Week Comes To An End
Lyudmila Ulitskaya;1943;;novelist and short-story writer;Medea and Her Children
Alexander Urusov;1843;1900;literary critic, translator, lawyer and philanthropist;
Eduard Uspensky;1937;;children's writer;Cheburashka series
Gleb Uspensky;1843;1902;writer and essayist;The Power of the Land
Nikolay Uspensky;1837;1889;short story writer;A Good Existence
Iosif Utkin;1903;1944;poet and journalist;Dear Childhood
Konstantin Vaginov;1899;1934;poet and novelist;Journey to Chaos
Pyotr Valuyev;1815;1890;statesman, novelist, poet and essayist;
Alexander Vampilov;1937;1972;playwright;Elder Son
Mikhail Veller;1948;;writer and journalist;The Guru
Alexander Veltman;1800;1870;writer, one of the pioneers of Russian science fiction;
Dmitry Venevitinov;1805;1827;philosophical poet;
Anastasiya Verbitskaya;1861;1928;novelist, playwright, screenplay writer, publisher and feminist;The Keys to Happiness
Vikenty Veresaev;1867;1945;writer and medical doctor;Memoirs of a Physician
Lidia Veselitskaya;1857;1936;writer, translator and memoirist;Mimi's Marriage
Sergey Vikulov;1922;2006;poet, essayist, memoirist and editor;Nash Sovremennik
Tony Vilgotsky;1980;;horror and fantasy writer, columnist;
Nikolai Virta;1906;1976;writer and playwright;Alone
Vsevolod Vishnevsky;1900;1951;playwright;Optimistic Tragedy
Igor Vishnevetsky;1964;;poet and music historian;
Georgi Vladimov;1931;2003;dissident writer;Faithful Ruslan
Dmitry Vodennikov;1968;;poet and essayist;
Vladimir Voinovich;1932;;satirical novelist;The Life and Extraordinary Adventures of Private Ivan Chonkin
Zinaida Volkonskaya;1792;1862;writer, poet, singer, composer, salonist and lady in waiting;
Alexander Volkov;1891;1977;novelist and mathematician;The Wizard of the Emerald City
Maximilian Voloshin;1877;1932;poet, translator, art and literary critic;
Konstantin Vorobyov;1919;1975;writer;Slain Near Moscow
Vatslav Vorovsky;1871;1923;;Marxist revolutionary, literary critic, diplomat and publicist
Julia Voznesenskaya;1940;;novelist;The Women's Decameron
Zoya Voskresenskaya;1907;1992;children's writer, diplomat;NKVD foreign office secret agent,Mother's Heart
Andrei Voznesensky;1933;2010;poet and writer;First Frost
Alexander Vvedensky;1904;1941;poet, co-founder of OBERIU;
Pyotr Vyazemsky;1792;1878;poet, representative of the Golden Age of Russian poetry;
Vladimir Vysotsky;1938;1980;singer, songwriter, poet and actor;
Alexander Yakovlev;1886;1953;writer and essayist;The Peasant
Pyotr Yakubovich;1860;1911;poet and writer, member of Narodnaya Volya;
Pavel Yakushkin;1822;1872;writer, ethnographer and folklorist;
Alexander Yashin;1913;1968;writer associated with the Village Prose movement;
Ieronim Yasinsky;1850;1931;novelist, poet, essayist and memoirist;
Nikolay Yazykov;1803;1846;poet and slavophile;
Ivan Yefremov;1908;1972;paleontologist, science fiction author and social thinker;Andromeda
Dmitri Yemets;1974;;author of fantasy literature for children and young adults;Tanya Grotter
Venedikt Yerofeyev;1938;1990;writer and playwright;Moscow-Petushki
Pyotr Yershov;1815;1869;fairy tale writer, poet and playwright;The Humpbacked Horse
Sergei Yesenin;1895;1925;poet;Land of Scoundrels
Tatyana Yesenina;1918;1992;writer and daughter of Sergei Yesenin;Zhenya, the Wonder of the Twentieth Century
Yevgeny Yevtushenko;1933;;poet, novelist, essayist, dramatist, screenwriter, actor, editor, and film director;
Semyon Yushkevich;1868;1927;writer and playwright;
Nikolay Zabolotsky;1903;1958;poet, children's writer and translator, one of the founders of the absurdist group OBERIU;
Boris Zakhoder;1918;2000;poet, children's writer and translator;
Mikhail Zagoskin;1789;1852;historical novelist;Tales of Three Centuries
Boris Zaitsev;1881;1972;writer and playwright;Anna
Mark Zakharov;1933;;theatrical director, playwright and actor;
Sergey Zalygin;1913;2000;novelist and magazine editor;The South American Variant
Yevgeny Zamyatin;1884;1937;science fiction writer and political satirist;We
Vsevolod Zelchenko;1972;;poet;
Mikhail Zenkevich;1886;1973;poet and translator;Wild Porphyry
Yulia Zhadovskaya;1824;1883;poet and writer;Apart from the Great World
Vera Zhelikhovsky;1835;1896;novelist and children's writer;The General's Will
Aleksey Zhemchuzhnikov;1821;1908;poet and dramatist, co-creator of Kozma Prutkov;
Boris Zhitkov;1882;1938;children's writer and historical novelist;
Maria Zhukova;1804;1855;writer;Evenings on the Karpovka
Vasily Zhukovsky;1783;1852;poet, translator and magazine editor;
Zinovy Zinik;1945;;novelist and broadcaster;The Mushroom-Picker
Lydia Zinovieva-Annibal;1866;1907;writer and playwright;The Tragic Menagerie
Nikolai Zlatovratsky;1845;1911;novelist and short story writer;Old Shadows
Mikhail Zoshchenko;1895;1958;satirical short story writer;The Galosh
Rafail Zotov;1795;1871;playwright, novelist, journalist, translator and theatre critic;Jealous Wife
